itl2_code,itl2_name,year,median_all,median_newbuild,median_existing,median_detached,median_semi_detached,median_terraced,median_flat,n_sales
TLF1,Derbyshire and Nottinghamshire,2023,225000.0,291995.0,210000.0,329995.0,205000.0,165000.0,135000.0,28729
TLF2,"Leicestershire, Rutland and Northamptonshire",2023,275000.0,342950.0,260000.0,390000.0,260000.0,217500.0,142500.0,22795
TLF3,Lincolnshire,2023,226000.0,255000.0,220000.0,295000.0,195000.0,156500.0,112500.0,10611
TLG1,"Herefordshire, Worcestershire and Warwickshire",2023,292000.0,360000.0,280000.0,430000.0,275000.0,225000.0,153000.0,18600
TLG2,Shropshire and Staffordshire,2023,229995.0,298997.5,215000.0,350000.0,212000.0,160000.0,120000.0,21104
TLG3,West Midlands,2023,224000.0,290000.0,220000.0,395000.0,240000.0,195000.0,140000.0,25333
TLH2,Bedfordshire and Hertfordshire,2023,400000.0,449995.0,390000.0,630000.0,430000.0,370000.0,250000.0,21492
TLH3,Essex,2023,360000.0,439000.0,350000.0,515000.0,380000.0,325000.0,219250.0,22639
TLH4,Cambridgeshire and Peterborough,2023,330000.0,400000.0,307250.0,435000.0,299972.5,260000.0,220000.0,11052
TLH5,Norfolk,2023,275000.0,340000.0,267000.0,372500.0,260000.0,218000.0,155000.0,12766
TLH6,Suffolk,2023,295000.0,360000.0,280000.0,420000.0,275000.0,229000.0,160000.0,10160
TLI3,Inner London - West,2023,835000.0,1213375.0,780000.0,3250000.0,2162500.0,1360000.0,720000.0,13144
TLI4,Inner London - East,2023,530000.0,604179.0,520000.0,1295000.0,925050.5,762000.0,476160.0,18952
TLI5,Outer London - East and North East,2023,445000.0,418250.0,445000.0,735000.0,525000.0,465000.0,325000.0,15144
TLI6,Outer London - South,2023,475000.0,521250.0,475000.0,882500.0,620000.0,500000.0,326000.0,13255
TLI7,Outer London - West and North West,2023,535000.0,450000.0,546000.0,1075000.0,680000.0,625000.0,400000.0,15838
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2023,415000.0,465000.0,400000.0,620000.0,420000.0,352000.0,245000.0,30420
